Time,Temperature,Control_Output
2.67,62.38,3.3
2.68,62.52,3.3
2.69,62.66,3.3
2.7,62.8,3.3
2.71,62.94,3.3
2.72,63.08,3.3
2.73,63.22,3.3
2.74,63.36,3.3
2.75,63.5,3.3
2.76,63.64,3.3
2.77,63.78,3.3
2.78,63.92,3.3
2.79,64.06,3.3
2.8,64.2,3.3
2.81,64.34,3.3
2.82,64.48,3.3
2.83,64.62,3.3
2.84,64.76,3.3
2.85,64.9,3.3
2.86,65.04,3.3
2.87,65.18,3.3
2.88,65.32,3.3
2.89,65.46,3.3
2.9,65.6,3.3
2.91,65.74,3.3
2.92,65.88,3.3
2.93,66.02,3.3
2.94,66.16,3.3
2.95,66.3,3.3
2.96,66.44,3.3
2.97,66.58,3.3
2.98,66.72,3.3
2.99,66.86,3.3
3,67,3.3
3.01,67.14,3.3
3.02,67.28,3.3
3.03,67.42,3.3
3.04,67.56,3.3
3.05,67.7,3.3
3.06,67.84,3.3
3.07,67.98,3.3
3.08,68.12,3.3
3.09,68.26,3.3
3.1,68.4,3.3
3.11,68.54,3.3
3.12,68.68,3.3
3.13,68.82,3.3
3.14,68.96,3.3
3.15,69.1,3.3
3.16,69.24,3.3
3.17,69.38,3.3
3.18,69.52,3.3
3.19,69.66,3.3
3.2,69.8,3.3
3.21,69.94,3.3
3.22,70.08,3.3
3.23,70.22,3.3
3.24,70.36,3.3
3.25,70.5,3.3
3.26,70.64,3.3
3.27,70.78,3.3
3.28,70.92,3.3
3.29,71.06,3.3
3.3,71.2,3.3
3.31,71.34,3.3
3.32,71.48,3.3
3.33,71.62,3.3
3.34,71.76,3.3
3.35,71.9,3.3
3.36,72.04,3.3
3.37,72.18,3.3
3.38,72.32,3.3
3.39,72.46,3.3
3.4,72.6,3.3
3.41,72.74,3.3
3.42,72.88,3.3
3.43,73.02,3.3
3.44,73.16,3.3
3.45,73.3,3.3
3.46,73.44,3.3
3.47,73.58,3.3
3.48,73.72,3.3
3.49,73.86,3.3
3.5,74,3.3
3.51,74.14,3.3
3.52,74.28,3.3
3.53,74.42,3.3
3.54,74.56,3.3
3.55,74.7,3.3
3.56,74.84,3.3
3.57,74.98,3.3
3.58,75.12,3.3
3.59,75.26,3.3
3.6,75.4,3.3
3.61,75.54,3.3
3.62,75.68,3.3
3.63,75.82,3.3
3.64,75.96,3.3
3.65,76.1,3.3
3.66,76.24,3.3
3.67,76.38,3.3
3.68,76.52,3.3
3.69,76.66,3.3
3.7,76.8,3.3
3.71,76.94,3.3
3.72,77.08,3.3
3.73,77.22,3.3
3.74,77.36,3.3
3.75,77.5,3.3
3.76,77.64,3.3
3.77,77.78,3.3
3.78,77.92,3.3
3.79,78.06,3.3
3.8,78.2,3.3
3.81,78.34,3.3
3.82,78.48,3.3
3.83,78.62,3.3
3.84,78.76,3.3
3.85,78.9,3.3
3.86,79.04,3.3
3.87,79.18,3.3
3.88,79.32,3.3
3.89,79.46,3.3
3.9,79.6,3.3
3.91,79.74,3.3
3.92,79.88,3.3
3.93,80.02,3.3
3.94,80.16,3.3
3.95,80.3,3.3
3.96,80.44,3.3
3.97,80.58,3.3
3.98,80.72,3.3
3.99,80.86,3.3
4,81,3.3
4.01,81.14,3.3
4.02,81.28,3.3
4.03,81.42,3.3
4.04,81.56,3.3
4.05,81.7,3.3
4.06,81.84,3.3
4.07,81.98,3.3
4.08,82.12,3.3
4.09,82.26,3.3
4.1,82.4,3.3
4.11,82.54,3.3
4.12,82.68,3.3
4.13,82.82,3.3
4.14,82.96,3.3
4.15,83.1,3.3
4.16,83.24,3.3
4.17,83.38,3.3
4.18,83.52,3.3
4.19,83.66,3.3
4.2,83.8,3.3
4.21,83.94,3.3
4.22,84.08,3.3
4.23,84.22,3.3
4.24,84.36,3.3
4.25,84.5,3.3
4.26,84.64,3.3
4.27,84.78,3.3
4.28,84.92,3.3
4.29,85.06,3.3
4.3,85.2,3.3
4.31,85.34,3.3
4.32,85.48,3.3
4.33,85.62,3.3
4.34,85.76,3.3
4.35,85.9,3.3
4.36,86.04,3.3
4.37,86.18,3.3
4.38,86.32,3.3
4.39,86.46,3.3
4.4,86.6,3.3
4.41,86.74,3.3
4.42,86.88,3.3
4.43,87.02,3.3
4.44,87.16,3.3
4.45,87.3,3.3
4.46,87.44,3.3
4.47,87.58,3.3
4.48,87.72,3.3
4.49,87.86,3.3
4.5,88,3.3
4.51,88.14,3.3
4.52,88.28,3.3
4.53,88.42,3.3
4.54,88.56,3.3
4.55,88.7,3.3
4.56,88.84,3.3
4.57,88.98,3.3
4.58,89.12,3.3
4.59,89.26,3.3
4.6,89.4,3.3
4.61,89.54,3.3
4.62,89.68,3.3
4.63,89.82,3.3
4.64,89.96,3.3
4.65,90.1,3.3
